"","Parcel","Year","Tran_Name","x","y","ACHY","ALOC2","ARTR2","ASFA","ATCA2","ATCO","ATPA3","ATPO","ATTO","BOMA7","CALI4","DISP","EPCI","EPNE","ERNA10","EUOC4","HECU3","HOJU","IVAX","JUARL","JUTO","KRLA2","LETR5","MACA17","MALE3","MUAS","POFR2","PSARM","PSPO","SAEX","SALA3","SALA6","SAVE4","SPAI","SUMO","TEAX","TEGL","TYLA"
"30","LAW029",2023,"18",381690,4144950,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"31","LAW029",2023,"19",380760,4145700,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","LAW029",2023,"2",381450,4145790,0,0,0,0,0,2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0
"33","LAW029",2023,"20",381480,4145310,0,0,0,0,0,0,0,0,4,0,0,17,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","LAW029",2023,"21",380700,4145820,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","LAW029",2023,"22",381780,4145310,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"36","LAW029",2023,"23",381600,4145490,0,0,0,0,0,0,0,0,8,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0
"37","LAW029",2023,"24",381600,4145760,0,0,0,0,1,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
"38","LAW029",2023,"25",381630,4144920,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"39","LAW029",2023,"26",381510,4145580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","LAW029",2023,"27",380700,4145790,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","LAW029",2023,"28",381540,4145790,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1,0,0,0
"42","LAW029",2023,"29",381000,4145760,0,0,0,0,0,0,0,0,11,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
"43","LAW029",2023,"3",380910,4145790,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","LAW029",2023,"30",381480,4145640,0,0,0,0,0,1,0,0,20,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
"45","LAW029",2023,"31",381810,4145490,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
