transect,old_hits,new_hits,difference,percent_change
10c,2,2,0,0
11a,1,2,1,100
12a,13,0,-13,-100
13a,24,15,-9,-37.5
14a,11,1,-10,-90.9
15a,1,4,3,300
1a,0,0,0,0
2a,0,0,0,0
3a,0,2,2,999
4a,2,20,18,900
5a,2,1,-1,-50
6d,11,1,-10,-90.9
7d,20,24,4,20
8a,9,1,-8,-88.9
9a,1,6,5,500
TOTAL,97,79,-18,-18.6
