parcel,year,total_species,perennial_species,grass_species
LAW090,2022,9,0,1
LAW090,2024,7,0,0
LAW090,2025,6,0,0
LAW094,2022,6,0,0
LAW094,2024,5,0,0
LAW094,2025,7,0,0
LAW095,2022,6,0,0
LAW095,2024,6,0,0
LAW095,2025,5,0,0
LAW118/129,2022,5,0,0
LAW118/129,2023,5,0,1
LAW118/129,2025,4,0,0
