parcel,GB_TYPE,COMM_NAME,COMM_CODE,COMM_ACRON,Acreage
LAW095,A,Barren Lands - Abag,14000.0,ABAG,49.8164008639
LAW129,A,Barren Lands - Abag,14000.0,ABAG,49.3716115705
LAW094,A,Barren Lands - Abag,14000.0,ABAG,42.0325882289
LAW090,A,Barren Lands - Abag,14000.0,ABAG,103.635905369
LAW118,A,Barren Lands - Abag,14000.0,ABAG,92.2937783862
