"parcel","GB_TYPE","ecological_site","acres","COMM_NAME","COMM_ACRON","ca802_id","nv_provisional_id","nv_name","stm_tier","note"
"LAW090","A","Gravelly Loam 5-8"" P.Z.",101.9,"Barren Lands - Abag","ABAG","R029XG009CA","R029XY087NV","GRAVELLY LOAM 5-8 P.Z.",3,"Majority-component SSURGO Ecologic_3 from parcel_augment2 (inyoShiny)"
"LAW094","A","Gravelly Loam 5-8"" P.Z.",41.4,"Barren Lands - Abag","ABAG","R029XG009CA","R029XY087NV","GRAVELLY LOAM 5-8 P.Z.",3,"Majority-component SSURGO Ecologic_3 from parcel_augment2 (inyoShiny)"
"LAW095","A","Gravelly Loam 5-8"" P.Z.",48.7,"Barren Lands - Abag","ABAG","R029XG009CA","R029XY087NV","GRAVELLY LOAM 5-8 P.Z.",3,"Majority-component SSURGO Ecologic_3 from parcel_augment2 (inyoShiny)"
"LAW118","A","Gravelly Loam 5-8"" P.Z.",91.9,"Barren Lands - Abag","ABAG","R029XG009CA","R029XY087NV","GRAVELLY LOAM 5-8 P.Z.",3,"Majority-component SSURGO Ecologic_3 from parcel_augment2 (inyoShiny)"
"LAW118","E","Gravelly Loam 5-8"" P.Z.",40.6,"Barren Lands - Abag","ABAG","R029XG009CA","R029XY087NV","GRAVELLY LOAM 5-8 P.Z.",3,"Minority Type E polygon slice on same ESD; majority Type A ABAG used for reveg framing"
"LAW129","A","Gravelly Loam 5-8"" P.Z.",48.8,"Barren Lands - Abag","ABAG","R029XG009CA","R029XY087NV","GRAVELLY LOAM 5-8 P.Z.",3,"Majority-component SSURGO Ecologic_3 from parcel_augment2 (inyoShiny)"
