parcel,year,Mean_Cover,SD_Cover,SE_Cover
LAW012,2024,6.133333333333334,2.2008357869044977,0.40181580195074207
LAW012,2025,5.625,2.669269563007828,0.4220485754033533
LAW024,2024,7.35,2.9443920330765136,0.9310985148975615
LAW024,2025,8.35,2.5500544656492687,0.8063980268935296
LAW028,2022,4,2.70801280154532,1.023532631438318
LAW028,2024,7.075,2.586783208624382,0.5784223097539137
LAW028,2025,6.2,2.035216269382174,0.4550881927252065
LAW029,2022,6.075,3.0317399902401014,0.6779176708281416
LAW029,2023,12.825,7.138330983554156,1.1286692300090542
LAW029,2025,10.133333333333333,3.748650550849059,0.967897410279311
LAW039,2023,8.791666666666666,2.1790149289543796,0.6290274279000122
LAW039,2025,9.0625,3.3320682123012686,1.1780640141471819
LAW048,2022,14.571428571428571,5.848280170475842,2.210442132644215
LAW048,2025,9.125,3.3246911779248656,1.1754558386308813
LAW049,2022,8.515151515151516,7.19210162314019,1.251984191951414
LAW049,2025,4.7,2.3828088000882026,0.7535103036971544
LAW069,2023,19.416666666666668,7.707237841893498,2.224887921362841
LAW069,2025,12.25,8.750510189207745,3.0937725468153876
LAW091,2022,9,NA,NA
LAW091,2025,14.3125,2.802263116024006,0.9907496260047597
LAW093,2022,6.678571428571429,2.714683313851819,0.725529633858973
LAW093,2025,11.7,4.192254763250917,1.8748333259252674
LAW104,2023,13.916666666666666,5.995579179442942,1.730774626599549
LAW104,2025,2.9,3.110466202999158,1.3910427743243554
LAW117,2022,4.645833333333333,1.9568709644816151,0.2824499945282058
LAW117,2025,7.1,2.7145838571024803,0.4956129375914696
LAW119,2023,25.588709677419356,11.761469530670412,1.4937081241040133
LAW119,2025,16.666666666666668,6.5565307318806365,1.692888955564722
LAW130,2024,5.45,1.9642640691448117,0.6211548384528074
LAW130,2025,7.3,2.263232692902394,0.7156970184527962
LAW134,2024,6.7,4.785944332928951,1.0701696864959018
LAW134,2025,8.45,3.103054522308793,0.6938640849770599
PLC202,2023,13.708333333333334,5.536894162768236,1.5983636676743544
PLC202,2025,9.3,4.396020928066653,1.9659603251337496
PLC219,2022,8.078947368421053,2.770194326791378,0.6355261644449107
PLC219,2023,8.862068965517242,3.62751526462314,0.6736126738066118
PLC219,2025,6.433333333333334,3.2451428906833026,0.8378922914453217
PLC227,2023,9.40625,4.851733145601583,0.8576733519406045
PLC227,2025,12.6,5.743595467030115,1.81628436344337
PLC230,2023,12.325,5.808426681367383,0.9183928967607016
PLC230,2025,12,5.625198409199194,1.4524199838627287
