parcel_group,atto_erna_threshold,description
LAW90_94_95,0.205,LAW90/94/95 reference parcel average ATTO+ERNA10 cover
LAW118_129,5.183215045659128,LAW118/129 reference parcel average ATTO+ERNA10 cover
