Parcel,LAW118,LAW118,LAW118,LAW118,LAW118,LAW118,LAW129,LAW129,LAW129,LAW129,LAW129,LAW129,LAW129,LAW129,LAW129,LAW129,LAW129,LAW129,LAW129,LAW129
Transect,6,8,10,11,13,14,1,2,3,5,6,7,8,10,12,13,14,15,17,21
Bearing,40,120,40,40,40,320,120,40,220,40,320,120,40,120,320,120,40,220,40,217
ERNA10,8,16,0,0,1,0,38,82,45,72,6,4,54,4,19,62,95,58,70,1
ATPO,3,0,0,34,18,41,0,0,10,1,5,6,0,0,17,0,0,0,0,4
SATR12,2,10,6,2,0,0,3,0,2,2,2,24,0,1,14,19,0,0,0,29
ATCA2,0,5,0,1,0,0,10,0,1,8,10,8,19,14,0,0,0,0,0,1
COAR4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1,0,0,0,0
KRLA2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
IVAX,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
