"parcel","year","transect","data_source","reference_group"
"PLC227",2025,"3a","reference","LAW118/129"
"PLC227",2025,"4a","reference","LAW118/129"
"PLC227",2025,"5a","reference","LAW118/129"
"PLC227",2025,"6a","reference","LAW118/129"
"PLC227",2025,"7a","reference","LAW118/129"
"PLC227",2025,"8a","reference","LAW118/129"
"PLC227",2025,"9a","reference","LAW118/129"
"PLC230",2023,"1","reference","LAW118/129"
"PLC230",2023,"10","reference","LAW118/129"
"PLC230",2023,"11","reference","LAW118/129"
"PLC230",2023,"12","reference","LAW118/129"
"PLC230",2023,"13","reference","LAW118/129"
"PLC230",2023,"14","reference","LAW118/129"
"PLC230",2023,"15","reference","LAW118/129"
"PLC230",2023,"16","reference","LAW118/129"
"PLC230",2023,"17","reference","LAW118/129"
"PLC230",2023,"18","reference","LAW118/129"
"PLC230",2023,"19","reference","LAW118/129"
"PLC230",2023,"2","reference","LAW118/129"
"PLC230",2023,"20","reference","LAW118/129"
"PLC230",2023,"21","reference","LAW118/129"
"PLC230",2023,"22","reference","LAW118/129"
"PLC230",2023,"23","reference","LAW118/129"
"PLC230",2023,"24","reference","LAW118/129"
"PLC230",2023,"25","reference","LAW118/129"
"PLC230",2023,"26","reference","LAW118/129"
"PLC230",2023,"27","reference","LAW118/129"
"PLC230",2023,"28","reference","LAW118/129"
"PLC230",2023,"29","reference","LAW118/129"
"PLC230",2023,"3","reference","LAW118/129"
"PLC230",2023,"30","reference","LAW118/129"
"PLC230",2023,"31","reference","LAW118/129"
"PLC230",2023,"32","reference","LAW118/129"
"PLC230",2023,"33","reference","LAW118/129"
"PLC230",2023,"34","reference","LAW118/129"
"PLC230",2023,"35","reference","LAW118/129"
"PLC230",2023,"36","reference","LAW118/129"
"PLC230",2023,"37","reference","LAW118/129"
"PLC230",2023,"38","reference","LAW118/129"
"PLC230",2023,"39","reference","LAW118/129"
"PLC230",2023,"4","reference","LAW118/129"
"PLC230",2023,"40","reference","LAW118/129"
"PLC230",2023,"5","reference","LAW118/129"
"PLC230",2023,"6","reference","LAW118/129"
"PLC230",2023,"7","reference","LAW118/129"
"PLC230",2023,"8","reference","LAW118/129"
"PLC230",2023,"9","reference","LAW118/129"
"PLC230",2025,"10a","reference","LAW118/129"
"PLC230",2025,"11a","reference","LAW118/129"
"PLC230",2025,"12c","reference","LAW118/129"
"PLC230",2025,"13c","reference","LAW118/129"
"PLC230",2025,"14a","reference","LAW118/129"
"PLC230",2025,"15d","reference","LAW118/129"
"PLC230",2025,"1a","reference","LAW118/129"
"PLC230",2025,"2a","reference","LAW118/129"
"PLC230",2025,"3e","reference","LAW118/129"
"PLC230",2025,"4a","reference","LAW118/129"
"PLC230",2025,"5a","reference","LAW118/129"
"PLC230",2025,"6a","reference","LAW118/129"
"PLC230",2025,"7a","reference","LAW118/129"
"PLC230",2025,"8a","reference","LAW118/129"
"PLC230",2025,"9a","reference","LAW118/129"
"LAW129_118",2022,"LAW129_1","revegetation","LAW118/129 (Combined)"
"LAW129_118",2022,"LAW129_10","revegetation","LAW118/129 (Combined)"
"LAW129_118",2022,"LAW129_11","revegetation","LAW118/129 (Combined)"
"LAW129_118",2022,"LAW129_12","revegetation","LAW118/129 (Combined)"
"LAW129_118",2022,"LAW129_13","revegetation","LAW118/129 (Combined)"
"LAW129_118",2022,"LAW129_14","revegetation","LAW118/129 (Combined)"
"LAW129_118",2022,"LAW129_15","revegetation","LAW118/129 (Combined)"
"LAW129_118",2022,"LAW129_16","revegetation","LAW118/129 (Combined)"
"LAW129_118",2022,"LAW129_17","revegetation","LAW118/129 (Combined)"
"LAW129_118",2022,"LAW129_18","revegetation","LAW118/129 (Combined)"
"LAW129_118",2022,"LAW129_19","revegetation","LAW118/129 (Combined)"
"LAW129_118",2022,"LAW129_2","revegetation","LAW118/129 (Combined)"
"LAW129_118",2022,"LAW129_20","revegetation","LAW118/129 (Combined)"
"LAW129_118",2022,"LAW129_3","revegetation","LAW118/129 (Combined)"
"LAW129_118",2022,"LAW129_4","revegetation","LAW118/129 (Combined)"
"LAW129_118",2022,"LAW129_5","revegetation","LAW118/129 (Combined)"
"LAW129_118",2022,"LAW129_6","revegetation","LAW118/129 (Combined)"
"LAW129_118",2022,"LAW129_7","revegetation","LAW118/129 (Combined)"
"LAW129_118",2022,"LAW129_8","revegetation","LAW118/129 (Combined)"
"LAW129_118",2022,"LAW129_9","revegetation","LAW118/129 (Combined)"
"LAW129_118",2023,"LAW118_1","revegetation","LAW118/129 (Combined)"
"LAW129_118",2023,"LAW118_10","revegetation","LAW118/129 (Combined)"
"LAW129_118",2023,"LAW118_11","revegetation","LAW118/129 (Combined)"
"LAW129_118",2023,"LAW118_12","revegetation","LAW118/129 (Combined)"
"LAW129_118",2023,"LAW118_13","revegetation","LAW118/129 (Combined)"
"LAW129_118",2023,"LAW118_14","revegetation","LAW118/129 (Combined)"
"LAW129_118",2023,"LAW118_15","revegetation","LAW118/129 (Combined)"
"LAW129_118",2023,"LAW118_2","revegetation","LAW118/129 (Combined)"
"LAW129_118",2023,"LAW118_3","revegetation","LAW118/129 (Combined)"
"LAW129_118",2023,"LAW118_4","revegetation","LAW118/129 (Combined)"
"LAW129_118",2023,"LAW118_5","revegetation","LAW118/129 (Combined)"
"LAW129_118",2023,"LAW118_6","revegetation","LAW118/129 (Combined)"
"LAW129_118",2023,"LAW118_7","revegetation","LAW118/129 (Combined)"
"LAW129_118",2023,"LAW118_8","revegetation","LAW118/129 (Combined)"
"LAW129_118",2023,"LAW118_9","revegetation","LAW118/129 (Combined)"
"LAW129_118",2025,"LAW118_10","revegetation","LAW118/129 (Combined)"
"LAW129_118",2025,"LAW118_11","revegetation","LAW118/129 (Combined)"
"LAW129_118",2025,"LAW118_13","revegetation","LAW118/129 (Combined)"
"LAW129_118",2025,"LAW118_14","revegetation","LAW118/129 (Combined)"
"LAW129_118",2025,"LAW118_6","revegetation","LAW118/129 (Combined)"
"LAW129_118",2025,"LAW118_8","revegetation","LAW118/129 (Combined)"
"LAW129_118",2025,"LAW129_1","revegetation","LAW118/129 (Combined)"
"LAW129_118",2025,"LAW129_10","revegetation","LAW118/129 (Combined)"
"LAW129_118",2025,"LAW129_12","revegetation","LAW118/129 (Combined)"
"LAW129_118",2025,"LAW129_13","revegetation","LAW118/129 (Combined)"
"LAW129_118",2025,"LAW129_14","revegetation","LAW118/129 (Combined)"
"LAW129_118",2025,"LAW129_15","revegetation","LAW118/129 (Combined)"
"LAW129_118",2025,"LAW129_17","revegetation","LAW118/129 (Combined)"
"LAW129_118",2025,"LAW129_2","revegetation","LAW118/129 (Combined)"
"LAW129_118",2025,"LAW129_21","revegetation","LAW118/129 (Combined)"
"LAW129_118",2025,"LAW129_3","revegetation","LAW118/129 (Combined)"
"LAW129_118",2025,"LAW129_5","revegetation","LAW118/129 (Combined)"
"LAW129_118",2025,"LAW129_6","revegetation","LAW118/129 (Combined)"
"LAW129_118",2025,"LAW129_7","revegetation","LAW118/129 (Combined)"
"LAW129_118",2025,"LAW129_8","revegetation","LAW118/129 (Combined)"
"LAW012",2024,"1","reference","LAW90/94/95"
"LAW012",2024,"10","reference","LAW90/94/95"
"LAW012",2024,"11","reference","LAW90/94/95"
"LAW012",2024,"12","reference","LAW90/94/95"
"LAW012",2024,"13","reference","LAW90/94/95"
"LAW012",2024,"14","reference","LAW90/94/95"
"LAW012",2024,"15","reference","LAW90/94/95"
"LAW012",2024,"16","reference","LAW90/94/95"
"LAW012",2024,"17","reference","LAW90/94/95"
"LAW012",2024,"18","reference","LAW90/94/95"
"LAW012",2024,"19","reference","LAW90/94/95"
"LAW012",2024,"2","reference","LAW90/94/95"
"LAW012",2024,"20b","reference","LAW90/94/95"
"LAW012",2024,"21","reference","LAW90/94/95"
"LAW012",2024,"22","reference","LAW90/94/95"
"LAW012",2024,"23","reference","LAW90/94/95"
"LAW012",2024,"24","reference","LAW90/94/95"
"LAW012",2024,"25","reference","LAW90/94/95"
"LAW012",2024,"26","reference","LAW90/94/95"
"LAW012",2024,"27b","reference","LAW90/94/95"
"LAW012",2024,"28","reference","LAW90/94/95"
"LAW012",2024,"29","reference","LAW90/94/95"
"LAW012",2024,"3","reference","LAW90/94/95"
"LAW012",2024,"30","reference","LAW90/94/95"
"LAW012",2024,"4","reference","LAW90/94/95"
"LAW012",2024,"5b","reference","LAW90/94/95"
"LAW012",2024,"6","reference","LAW90/94/95"
"LAW012",2024,"7","reference","LAW90/94/95"
"LAW012",2024,"8","reference","LAW90/94/95"
"LAW012",2024,"9","reference","LAW90/94/95"
"LAW012",2025,"1","reference","LAW90/94/95"
"LAW012",2025,"10","reference","LAW90/94/95"
"LAW012",2025,"11","reference","LAW90/94/95"
"LAW012",2025,"12","reference","LAW90/94/95"
"LAW012",2025,"13","reference","LAW90/94/95"
"LAW012",2025,"14","reference","LAW90/94/95"
"LAW012",2025,"15","reference","LAW90/94/95"
"LAW012",2025,"16","reference","LAW90/94/95"
"LAW012",2025,"17","reference","LAW90/94/95"
"LAW012",2025,"18","reference","LAW90/94/95"
"LAW012",2025,"19","reference","LAW90/94/95"
"LAW012",2025,"2","reference","LAW90/94/95"
"LAW012",2025,"20","reference","LAW90/94/95"
"LAW012",2025,"21","reference","LAW90/94/95"
"LAW012",2025,"22","reference","LAW90/94/95"
"LAW012",2025,"23","reference","LAW90/94/95"
"LAW012",2025,"24","reference","LAW90/94/95"
"LAW012",2025,"25","reference","LAW90/94/95"
"LAW012",2025,"26","reference","LAW90/94/95"
"LAW012",2025,"27","reference","LAW90/94/95"
"LAW012",2025,"28","reference","LAW90/94/95"
"LAW012",2025,"29","reference","LAW90/94/95"
"LAW012",2025,"3","reference","LAW90/94/95"
"LAW012",2025,"30","reference","LAW90/94/95"
"LAW012",2025,"31","reference","LAW90/94/95"
"LAW012",2025,"32","reference","LAW90/94/95"
"LAW012",2025,"33","reference","LAW90/94/95"
"LAW012",2025,"34","reference","LAW90/94/95"
"LAW012",2025,"35","reference","LAW90/94/95"
"LAW012",2025,"36","reference","LAW90/94/95"
"LAW012",2025,"37","reference","LAW90/94/95"
"LAW012",2025,"38","reference","LAW90/94/95"
"LAW012",2025,"39","reference","LAW90/94/95"
"LAW012",2025,"4","reference","LAW90/94/95"
"LAW012",2025,"40","reference","LAW90/94/95"
"LAW012",2025,"5","reference","LAW90/94/95"
"LAW012",2025,"6","reference","LAW90/94/95"
"LAW012",2025,"7","reference","LAW90/94/95"
"LAW012",2025,"8","reference","LAW90/94/95"
"LAW012",2025,"9","reference","LAW90/94/95"
"LAW024",2024,"1","reference","LAW90/94/95"
"LAW024",2024,"10","reference","LAW90/94/95"
"LAW024",2024,"2","reference","LAW90/94/95"
"LAW024",2024,"3b","reference","LAW90/94/95"
"LAW024",2024,"4","reference","LAW90/94/95"
"LAW024",2024,"5","reference","LAW90/94/95"
"LAW024",2024,"6c","reference","LAW90/94/95"
"LAW024",2024,"7","reference","LAW90/94/95"
"LAW024",2024,"8c","reference","LAW90/94/95"
"LAW024",2024,"9b","reference","LAW90/94/95"
"LAW024",2025,"1","reference","LAW90/94/95"
"LAW024",2025,"10","reference","LAW90/94/95"
"LAW024",2025,"2","reference","LAW90/94/95"
"LAW024",2025,"3","reference","LAW90/94/95"
"LAW024",2025,"4","reference","LAW90/94/95"
"LAW024",2025,"5","reference","LAW90/94/95"
"LAW024",2025,"6","reference","LAW90/94/95"
"LAW024",2025,"7","reference","LAW90/94/95"
"LAW024",2025,"8","reference","LAW90/94/95"
"LAW024",2025,"9","reference","LAW90/94/95"
"LAW028",2022,"12","reference","LAW90/94/95"
"LAW028",2022,"14","reference","LAW90/94/95"
"LAW028",2022,"18","reference","LAW90/94/95"
"LAW028",2022,"3","reference","LAW90/94/95"
"LAW028",2022,"4","reference","LAW90/94/95"
"LAW028",2022,"73","reference","LAW90/94/95"
"LAW028",2022,"8","reference","LAW90/94/95"
"LAW028",2024,"1","reference","LAW90/94/95"
"LAW028",2024,"10","reference","LAW90/94/95"
"LAW028",2024,"11","reference","LAW90/94/95"
"LAW028",2024,"12","reference","LAW90/94/95"
"LAW028",2024,"13","reference","LAW90/94/95"
"LAW028",2024,"14","reference","LAW90/94/95"
"LAW028",2024,"15","reference","LAW90/94/95"
"LAW028",2024,"16","reference","LAW90/94/95"
"LAW028",2024,"17","reference","LAW90/94/95"
"LAW028",2024,"18","reference","LAW90/94/95"
"LAW028",2024,"19","reference","LAW90/94/95"
"LAW028",2024,"2","reference","LAW90/94/95"
"LAW028",2024,"20","reference","LAW90/94/95"
"LAW028",2024,"3","reference","LAW90/94/95"
"LAW028",2024,"4","reference","LAW90/94/95"
"LAW028",2024,"5","reference","LAW90/94/95"
