"reference_group","year","n_parcels","n_transects"
"LAW118/129",2022,2,39
"LAW118/129",2023,9,251
"LAW118/129",2025,9,96
"LAW90/94/95",2022,6,110
"LAW90/94/95",2024,5,90
"LAW90/94/95",2025,10,161
